,Location,PopTotal,PopDensity
135,ESCAP: WB Upper middle income econ.,1896274000.0,58.628
136,ESCAP: WB income groups,4627612000.0,88.98299999999999
137,ESCAP: high HDI,222728000.0,26.467
138,ESCAP: high income,222956000.0,26.438000000000002
139,ESCAP: income groups,4627632000.0,88.98200000000001
140,ESCAP: low HDI,1933859000.0,301.29200000000003
141,ESCAP: low income,2096735000.0,280.88599999999997
142,ESCAP: lower middle HDI,2069716000.0,136.755
143,ESCAP: lower middle income,586218000.0,89.64200000000001
144,ESCAP: other Asia-Pacific countries/areas,200828000.0,51.745
145,ESCAP: upper middle HDI,401329000.0,18.211
146,ESCAP: upper middle income,1721722000.0,58.228
147,ESCWA: Arab countries,436379000.0,33.541
148,ESCWA: Arab least developed countries,96076000.0,24.163
149,ESCWA: Gulf Cooperation Council countries,58664000.0,22.8
150,ESCWA: Maghreb countries,99452000.0,20.968000000000004
151,ESCWA: Mashreq countries,182188000.0,106.02
152,ESCWA: member countries,374777000.0,37.567
153,East African Community (EAC),195283000.0,84.31700000000001
154,Eastern Africa,445406000.0,66.803
155,Eastern Asia,1678090000.0,145.158
156,Eastern Europe,293013000.0,16.230999999999998
157,Eastern European Group,339831000.0,18.191
158,Eastern and South-Eastern Asia,2346709000.0,147.58100000000002
159,Economic Community of Central African States (ECCAS),204438000.0,31.225
160,Economic Community of West African States (ECOWAS),397206000.0,78.921
161,Economic Cooperation Organization (ECO),512631000.0,65.459
162,Ecuador,17643000.0,71.038
163,Egypt,102334000.0,102.802
164,El Salvador,6486000.0,313.041
165,Equatorial Guinea,1403000.0,50.016999999999996
166,Eritrea,3546000.0,35.113
167,Estonia,1327000.0,31.294
168,Eswatini,1160000.0,67.45100000000001
169,Ethiopia,114964000.0,114.964
170,Eurasian Economic Community (Eurasec),223692000.0,11.164000000000001
171,Europe,747636000.0,33.775999999999996
172,Europe,747636000.0,33.775999999999996
173,Europe (48),747636000.0,33.775999999999996
174,Europe and Northern America,1116506000.0,27.374000000000002
175,European Community (EC: 12),384860000.0,165.22
176,European Free Trade Agreement (EFTA),14455000.0,28.613000000000003
177,European Union (EU: 15),409507000.0,130.999
178,European Union (EU: 28),513137000.0,121.029
179,Falkland Islands (Malvinas),3000.0,0.28600000000000003
