,state,population
0,Baden-Württemberg,11069533
1,Bavaria,13076721
2,Berlin,3644826
3,Brandenburg,2511917
4,Bremen,682986
5,Hamburg,1841179
6,Hesse,6265809
7,Lower Saxony,7982448
8,Mecklenburg-Vorpommern,1609675
9,North Rhine-Westphalia,17932651
10,Rhineland-Palatinate,4084844
11,Saarland,990509
12,Saxony,4077937
13,Saxony-Anhalt,2208321
14,Schleswig-Holstein,2896712
15,Thuringia,2143145
